EEID,Attrition,Age,Pay rate EUR,Length of service: Months,North America,Customer Success,Data & Analytics,Design,Engineering,Finance & Legal,Leadership,Marketing,People & Home,Product,R&D,Security,Strategy,Level_ordinal
343,0,28,6047.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
468,0,29,6144.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
458,0,27,6144.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
379,0,25,6144.0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0
492,0,58,7200.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
570,0,21,9984.0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1
676,0,24,11290.0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1
410,0,24,11341.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1
752,0,27,11520.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
776,0,23,11520.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
336,0,26,12288.0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
483,0,31,12288.0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
387,0,32,12480.0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
384,1,37,13824.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
620,0,26,14400.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
481,0,35,16000.0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0
249,0,27,17200.0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,2
451,0,28,17600.0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0
648,1,29,18400.0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
144,0,24,18832.0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,2
488,0,33,19200.0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
489,1,34,19200.0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0
158,0,31,19200.0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,2
359,0,41,19200.0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
155,0,36,20000.0,79,0,0,0,0,0,0,0,0,1,0,0,0,0,2
487,0,47,20000.0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
587,0,26,20000.0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,2
701,0,27,20800.0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2
484,0,35,21600.0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0
123,1,25,21600.0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2
539,0,29,21600.0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,3
581,0,34,21600.0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1
612,0,35,21600.0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,3
728,0,30,21600.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3
344,1,30,22400.0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,2
323,1,25,22400.0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,3
345,1,39,23184.0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,3
440,1,31,24000.0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0
157,0,39,24000.0,49,0,0,0,0,0,0,0,0,1,0,0,0,0,3
482,1,31,24000.0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
337,1,30,24000.0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,2
171,0,41,24000.0,44,0,0,0,0,0,0,0,0,1,0,0,0,0,3
204,1,29,24000.0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,2
324,1,33,24000.0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,3
156,0,29,24000.0,33,0,0,0,0,0,0,0,0,1,0,0,0,0,3
577,0,26,24000.0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,3
605,1,29,24000.0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,3
675,0,0,24000.0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,3
748,0,37,24000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
490,0,45,24800.0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0
491,0,47,24800.0,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0
288,1,27,24800.0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,2
742,0,23,24800.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
753,0,28,24800.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
766,0,26,24800.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
265,1,29,24864.0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,2
139,0,37,25200.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2
300,0,27,25440.0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,3
